"resp_id","country","age_grp","education","net_use_news","trust_parliament","trust_press","trust_science","trust_politicians","trust_index"
71,"Finland","18-24","primary","Once a week",3,1,1,3,2
72,"Poland","25-34","primary",NA,5,8,10,3,6.5
73,"Estonia","35-44","primary","Several times a month",NA,1,6,1,2.66666666666667
74,"Finland","45-54",NA,"Several times a week",NA,9,3,7,6.33333333333333
75,"Finland","25-34","tertiary","Several times a week",6,NA,1,NA,3.5
76,"","35-44","secondary","Every day",1,10,8,7,6.5
77,"Germany","35-44","tertiary","Never",7,3,7,10,6.75
78,"Finland","18-24","primary","Every day",NA,10,7,6,7.66666666666667
79,"Finland","65+","tertiary","Several times a week",3,9,4,5,5.25
80,"Poland","45-54","primary","Every day",0,6,0,1,1.75
81,"Sweden","45-54","tertiary","Every day",NA,6,NA,NA,6
82,"Germany","35-44","secondary","Every day",NA,3,0,10,4.33333333333333
83,"Finland","25-34","tertiary","Once a week",10,NA,9,7,8.66666666666667
84,"Finland","45-54","secondary","Every day",2,NA,6,1,3
85,"Germany","35-44","tertiary","Every day",8,4,NA,7,6.33333333333333
86,"Sweden","55-64",NA,"Every day",4,NA,5,NA,4.5
87,"Sweden","45-54",NA,"Every day",6,4,3,10,5.75
88,"Finland","35-44","secondary","Once a week",NA,3,7,NA,5
89,"Finland","18-24",NA,"Every day",10,8,NA,NA,9
90,"Finland","35-44","tertiary","Once a week",8,3,6,3,5
91,"Germany","55-64","tertiary","Several times a month",10,NA,10,2,7.33333333333333
92,"","25-34","tertiary","Several times a week",4,0,NA,6,3.33333333333333
93,"Germany","55-64","tertiary","Every day",10,9,NA,NA,9.5
94,"Sweden","55-64","tertiary","Every day",NA,4,4,9,5.66666666666667
95,"","45-54","tertiary","Once a month",5,NA,4,NA,4.5
96,"Estonia","25-34","tertiary","Every day",3,2,NA,4,3
97,"Germany","18-24","tertiary","Every day",NA,10,4,8,7.33333333333333
98,"Sweden","25-34",NA,"Once a week",1,9,5,0,3.75
99,"Estonia","35-44","secondary","Several times a week",5,NA,NA,1,3
100,"Finland","35-44","tertiary","Several times a month",3,8,2,2,3.75
101,"Finland","25-34","secondary","Several times a week",0,9,9,6,6
102,"","25-34","tertiary","Once a week",1,10,0,4,3.75
103,"Finland","55-64",NA,"Several times a month",7,4,NA,4,5
104,"Finland","45-54","tertiary","Several times a week",1,3,0,7,2.75
105,"Germany","35-44","secondary","Every day",2,NA,9,NA,5.5
106,"Estonia","45-54","secondary","Once a week",4,NA,0,NA,2
107,"","55-64","tertiary",NA,10,8,10,NA,9.33333333333333
108,"Poland","65+","secondary","Once a week",8,3,9,NA,6.66666666666667
109,"","25-34",NA,"Several times a week",NA,2,7,NA,4.5
110,"Germany","25-34","secondary","Once a week",NA,7,3,NA,5
111,"Sweden","18-24",NA,"Never",1,0,10,9,5
112,"Finland","55-64","secondary","Once a week",NA,8,3,NA,5.5
113,"Sweden","35-44","tertiary","Never",3,3,3,5,3.5
114,"Poland","35-44","tertiary","Never",0,4,9,9,5.5
115,"Finland","55-64","tertiary","Once a month",6,10,7,7,7.5
116,"Finland","55-64",NA,"Every day",NA,2,1,NA,1.5
117,"Finland","25-34","tertiary","Every day",NA,3,5,10,6
118,"Germany","55-64","secondary",NA,9,10,0,NA,6.33333333333333
119,"Germany","65+","primary","Several times a week",NA,1,8,9,6
120,"Estonia","55-64",NA,"Every day",4,6,2,2,3.5
121,"Finland","25-34","secondary","Every day",NA,2,NA,2,2
122,"","18-24","tertiary","Several times a week",10,8,NA,NA,9
123,"","45-54","secondary",NA,0,NA,8,5,4.33333333333333
124,"Estonia","25-34",NA,"Several times a week",7,NA,5,NA,6
125,"Sweden","35-44","tertiary",NA,7,3,0,NA,3.33333333333333
126,"Germany","65+","secondary","Every day",NA,NA,4,NA,4
127,"Finland","18-24","secondary","Every day",6,1,NA,NA,3.5
128,"Sweden","25-34","primary","Every day",10,0,3,NA,4.33333333333333
129,"Finland","55-64","tertiary","Several times a week",2,6,NA,6,4.66666666666667
130,"Finland","25-34",NA,"Every day",NA,4,NA,1,2.5
131,"Germany","45-54","primary","Every day",4,NA,1,3,2.66666666666667
132,"Estonia","65+",NA,"Several times a week",0,NA,1,NA,0.5
133,"Finland","35-44","secondary",NA,NA,2,3,7,4
134,"Finland","45-54",NA,"Every day",6,1,NA,3,3.33333333333333
135,"Finland","25-34","secondary","Once a week",8,2,NA,3,4.33333333333333
136,"","18-24","secondary","Once a week",NA,8,NA,5,6.5
137,"","45-54","secondary","Less than once a month",6,3,4,4,4.25
138,"Germany","45-54","secondary","Every day",0,10,3,4,4.25
139,"Poland","65+","tertiary","Every day",NA,3,7,NA,5
140,"Estonia","18-24","secondary",NA,6,9,8,8,7.75
141,"Finland","65+",NA,"Several times a month",6,NA,NA,8,7
142,"Germany","55-64","tertiary","Several times a month",2,0,3,6,2.75
143,"Estonia","25-34","secondary","Every day",0,7,4,1,3
144,"Germany","25-34",NA,"Every day",NA,0,NA,3,1.5
145,"Finland","65+","primary",NA,NA,9,0,NA,4.5
146,"Poland","55-64","secondary","Several times a month",0,NA,6,8,4.66666666666667
147,"","25-34","tertiary",NA,5,6,4,NA,5
148,"Finland","45-54","tertiary","Several times a month",NA,3,6,9,6
149,"Finland","35-44","secondary","Every day",NA,2,3,5,3.33333333333333
150,"Finland","25-34",NA,NA,NA,9,NA,3,6
151,"Finland","25-34","tertiary","Once a week",NA,10,2,6,6
152,"","25-34",NA,"Several times a week",4,8,4,6,5.5
153,"Finland","25-34",NA,"Every day",3,5,3,NA,3.66666666666667
154,"Finland","18-24",NA,"Every day",NA,NA,9,4,6.5
155,"Finland","35-44",NA,"Once a week",3,NA,NA,NA,3
156,"Germany","65+","primary","Every day",6,NA,9,3,6
157,"Finland","45-54","secondary","Every day",NA,1,NA,NA,1
158,"Finland","35-44","secondary","Every day",NA,8,0,NA,4
159,"Poland","25-34","secondary","Never",10,3,10,NA,7.66666666666667
160,"","55-64","secondary","Once a week",NA,NA,6,NA,6
161,"Finland","45-54","tertiary","Never",5,7,8,1,5.25
162,"Estonia","35-44","secondary","Every day",1,NA,8,5,4.66666666666667
163,"Estonia","55-64",NA,NA,8,NA,NA,8,8
164,"Poland","25-34",NA,"Every day",NA,NA,7,5,6
165,"Estonia","35-44","secondary","Several times a week",NA,NA,0,NA,0
166,"","25-34","tertiary","Every day",9,0,4,7,5
167,"Poland","25-34","secondary","Once a week",1,6,0,NA,2.33333333333333
168,"Finland","55-64","tertiary","Several times a month",4,6,5,8,5.75
169,"Estonia","25-34",NA,"Every day",7,6,NA,3,5.33333333333333
170,"Germany","65+","secondary","Every day",6,8,5,3,5.5
171,"","45-54","secondary","Every day",0,1,7,NA,2.66666666666667
172,"Finland","18-24","secondary","Every day",7,NA,1,4,4
173,"","45-54",NA,"Several times a month",NA,5,4,7,5.33333333333333
174,"Estonia","45-54","tertiary","Every day",2,1,NA,2,1.66666666666667
175,"Finland","35-44","tertiary","Every day",NA,4,NA,3,3.5
176,"Finland","18-24","tertiary","Every day",1,10,3,0,3.5
177,"Poland","65+","secondary","Every day",5,8,7,8,7
178,"Finland","35-44","primary",NA,6,NA,2,NA,4
179,"Estonia","55-64","secondary","Every day",2,3,3,9,4.25
180,"","35-44",NA,"Every day",2,NA,8,NA,5
181,"Estonia","35-44","secondary","Less than once a month",1,NA,6,0,2.33333333333333
182,"Estonia","45-54","tertiary","Several times a week",4,5,8,4,5.25
183,"Estonia","18-24","secondary",NA,5,0,NA,4,3
184,"Poland","25-34",NA,"Every day",8,9,0,9,6.5
185,"Estonia","45-54","tertiary","Once a month",2,6,8,9,6.25
186,"Sweden","18-24","secondary","Every day",1,8,7,6,5.5
187,"Sweden","45-54","tertiary","Every day",5,NA,6,6,5.66666666666667
188,"Poland","55-64","secondary","Several times a month",9,7,1,4,5.25
189,"Finland","35-44",NA,"Less than once a month",0,NA,NA,2,1
190,"Finland","18-24","tertiary","Several times a month",NA,5,10,4,6.33333333333333
191,"Poland","45-54",NA,"Several times a week",4,5,5,1,3.75
192,"Sweden","18-24","tertiary","Less than once a month",3,1,1,1,1.5
193,"Estonia","45-54",NA,NA,1,0,7,10,4.5
194,"Sweden","18-24","secondary","Several times a month",2,NA,9,2,4.33333333333333
195,"","25-34","tertiary","Every day",NA,7,8,NA,7.5
196,"Finland","35-44","primary","Several times a week",5,0,9,4,4.5
197,"Finland","55-64","tertiary","Every day",9,1,9,7,6.5
198,"Finland","25-34",NA,"Never",5,NA,3,2,3.33333333333333
199,"Finland","18-24","tertiary","Several times a week",8,9,4,6,6.75
200,"","55-64","primary","Every day",NA,0,6,NA,3
201,"","35-44","tertiary","Once a week",9,0,1,NA,3.33333333333333
202,"Finland","25-34","tertiary","Every day",9,0,NA,8,5.66666666666667
203,"Finland","55-64","secondary","Every day",2,3,3,NA,2.66666666666667
204,"Sweden","25-34",NA,"Every day",2,5,1,1,2.25
205,"Finland","45-54",NA,"Once a week",5,NA,2,9,5.33333333333333
206,"Germany","18-24","tertiary","Several times a week",7,NA,2,4,4.33333333333333
207,"Estonia","35-44","tertiary","Every day",0,2,3,3,2
208,"Estonia","45-54","tertiary","Once a week",3,NA,7,9,6.33333333333333
209,"Finland","25-34","secondary","Every day",0,4,2,NA,2
210,"Sweden","65+","secondary","Once a week",NA,NA,3,2,2.5
211,"Finland","35-44","secondary","Every day",1,1,9,NA,3.66666666666667
212,"Poland","18-24",NA,"Several times a week",6,1,9,8,6
213,"","18-24",NA,"Several times a month",3,NA,6,1,3.33333333333333
214,"Finland","65+","tertiary","Every day",4,NA,NA,4,4
215,"Finland","45-54","primary","Every day",6,10,NA,8,8
216,"Finland","25-34","primary","Less than once a month",4,NA,8,NA,6
217,"Sweden","55-64",NA,"Every day",3,10,NA,1,4.66666666666667
218,"Estonia","45-54","tertiary",NA,0,7,NA,NA,3.5
219,"Germany","35-44","secondary","Several times a month",NA,NA,0,1,0.5
220,"Finland","18-24","tertiary","Every day",NA,0,10,NA,5
221,"Finland","65+","primary","Several times a month",NA,8,NA,4,6
222,"Finland","35-44","primary","Once a month",3,3,10,5,5.25
223,"Germany","55-64","tertiary","Every day",6,5,2,9,5.5
224,"Finland","55-64","tertiary","Once a week",3,8,NA,5,5.33333333333333
225,"Estonia","25-34","secondary","Every day",NA,9,NA,NA,9
226,"Estonia","18-24","tertiary","Less than once a month",1,1,7,2,2.75
227,"Sweden","35-44","tertiary","Every day",7,7,9,NA,7.66666666666667
228,"Finland","45-54","primary","Several times a month",1,10,NA,8,6.33333333333333
229,"Finland","25-34","tertiary","Several times a week",8,7,10,NA,8.33333333333333
230,"Germany","35-44",NA,"Every day",4,NA,9,4,5.66666666666667
231,"Finland","55-64","primary",NA,2,0,4,10,4
232,"Estonia","45-54","primary","Once a month",NA,4,3,NA,3.5
233,"Finland","25-34",NA,"Once a week",1,7,NA,9,5.66666666666667
234,"Poland","65+","secondary","Every day",NA,3,7,8,6
235,"Poland","65+","secondary","Never",NA,2,2,8,4
236,"Germany","25-34","primary","Once a week",1,3,NA,6,3.33333333333333
237,"Finland","18-24","secondary","Several times a month",9,0,0,9,4.5
238,"Sweden","45-54","tertiary","Never",4,6,6,5,5.25
239,"Finland","65+","secondary",NA,NA,NA,8,1,4.5
240,"","35-44","tertiary","Every day",9,NA,10,4,7.66666666666667
241,"Finland","18-24","secondary","Every day",NA,4,7,NA,5.5
242,"Finland","25-34","primary",NA,7,2,9,10,7
243,"Finland","65+","tertiary","Every day",0,4,7,1,3
244,"Estonia","35-44","secondary",NA,NA,4,7,1,4
245,"Sweden","18-24","tertiary","Every day",2,10,NA,6,6
246,"Sweden","65+","primary","Every day",7,9,1,NA,5.66666666666667
247,"Sweden","45-54","tertiary","Every day",8,8,0,10,6.5
248,"Finland","45-54",NA,"Several times a week",4,NA,6,6,5.33333333333333
249,"Finland","18-24","tertiary","Several times a month",NA,3,5,9,5.66666666666667
250,"Finland","18-24","tertiary","Every day",8,3,8,4,5.75
251,"Finland","35-44","secondary","Every day",10,8,5,1,6
252,"Estonia","65+","tertiary","Every day",5,NA,7,2,4.66666666666667
253,"Germany","45-54","secondary",NA,NA,7,6,NA,6.5
254,"Poland","65+","tertiary","Once a week",3,10,NA,4,5.66666666666667
255,"Estonia","18-24",NA,"Several times a week",9,9,7,7,8
256,"Sweden","45-54",NA,"Every day",6,10,3,2,5.25
257,"Poland","65+",NA,"Once a week",3,NA,NA,NA,3
258,"Finland","45-54","primary","Several times a week",1,10,5,4,5
259,"Germany","65+","tertiary","Several times a month",8,4,3,0,3.75
260,"Sweden","18-24","secondary","Several times a week",8,10,10,5,8.25
261,"Finland","35-44",NA,NA,4,8,NA,9,7
262,"Finland","35-44",NA,"Several times a week",1,10,0,10,5.25
263,"Finland","18-24","tertiary","Several times a month",5,4,2,4,3.75
264,"Sweden","25-34",NA,"Several times a month",2,10,6,8,6.5
265,"Finland","35-44","tertiary","Once a week",8,1,NA,1,3.33333333333333
266,"Poland","35-44","primary",NA,0,2,3,10,3.75
267,"","18-24",NA,"Every day",5,NA,5,9,6.33333333333333
268,"Poland","35-44","tertiary","Every day",0,6,NA,1,2.33333333333333
269,"","18-24",NA,NA,8,NA,10,NA,9
270,"Finland","18-24",NA,"Every day",9,8,3,6,6.5
271,"Germany","35-44","secondary","Every day",3,3,8,0,3.5
272,"Germany","25-34","secondary","Once a month",NA,5,3,9,5.66666666666667
273,"Sweden","18-24","secondary","Every day",6,4,NA,2,4
274,"Finland","65+","secondary","Several times a month",10,7,0,2,4.75
275,"Estonia","25-34",NA,"Several times a month",4,8,4,NA,5.33333333333333
276,"Finland","65+",NA,"Several times a month",4,5,2,10,5.25
277,"Sweden","55-64",NA,"Several times a month",6,NA,NA,5,5.5
278,"Poland","18-24","secondary","Once a week",NA,0,3,NA,1.5
279,"Germany","65+","tertiary","Once a month",1,9,2,NA,4
280,"Poland","18-24","tertiary","Every day",3,2,1,NA,2
281,"","25-34",NA,"Once a week",9,5,6,5,6.25
282,"Estonia","45-54",NA,"Less than once a month",0,NA,9,NA,4.5
283,"Poland","45-54","primary","Once a week",1,1,8,0,2.5
284,"","65+","secondary","Once a week",0,5,6,4,3.75
285,"Finland","25-34","tertiary","Never",6,2,6,7,5.25
286,"Poland","35-44","secondary",NA,2,9,3,3,4.25
287,"Poland","55-64",NA,NA,7,NA,5,NA,6
288,"Finland","65+","tertiary","Every day",NA,0,10,2,4
289,"Finland","55-64","tertiary","Several times a month",9,9,4,7,7.25
290,"Finland","55-64","secondary","Every day",8,1,6,6,5.25
291,"Finland","25-34",NA,"Several times a week",NA,6,5,NA,5.5
292,"Finland","18-24","secondary","Every day",5,7,NA,NA,6
293,"Germany","35-44","primary","Every day",3,10,1,NA,4.66666666666667
294,"Poland","35-44","secondary","Every day",1,9,NA,7,5.66666666666667
295,"Sweden","18-24","primary",NA,NA,9,1,5,5
296,"Sweden","55-64","secondary","Never",6,2,6,8,5.5
297,"Poland","35-44","tertiary","Every day",6,NA,3,6,5
298,"Germany","55-64","tertiary","Every day",1,NA,5,NA,3
299,"Finland","35-44","secondary","Several times a week",NA,8,5,9,7.33333333333333
300,"Sweden","25-34","secondary","Several times a week",2,10,3,NA,5
301,"Finland","18-24","tertiary",NA,2,4,NA,1,2.33333333333333
302,"","25-34","tertiary","Less than once a month",NA,NA,1,2,1.5
303,"Estonia","45-54","secondary","Several times a week",6,3,NA,0,3
304,"","18-24","tertiary","Once a week",5,2,0,5,3
305,"Finland","25-34",NA,"Once a week",NA,8,10,4,7.33333333333333
306,"Germany","45-54","tertiary","Once a week",NA,1,10,10,7
307,"Estonia","65+","tertiary","Never",NA,NA,NA,NA,NA
308,"Finland","65+",NA,"Never",NA,4,NA,NA,4
309,"Finland","65+","tertiary","Never",8,NA,10,2,6.66666666666667
310,"Estonia","65+","tertiary","Several times a month",1,10,0,5,4
311,"Finland","35-44","tertiary",NA,4,2,9,3,4.5
312,"Estonia","25-34","tertiary","Never",5,5,5,10,6.25
313,"Estonia","18-24",NA,"Never",8,NA,0,9,5.66666666666667
314,"Sweden","25-34","secondary","Several times a month",9,NA,10,1,6.66666666666667
315,"Poland","18-24","tertiary","Every day",6,2,NA,NA,4
316,"Estonia","25-34","secondary","Every day",NA,8,6,8,7.33333333333333
317,"Poland","45-54",NA,"Several times a week",7,0,7,7,5.25
318,"Finland","45-54","tertiary","Every day",0,NA,5,7,4
319,"Germany","65+","tertiary","Never",0,6,2,6,3.5
320,"Germany","18-24",NA,"Once a week",8,10,3,2,5.75
321,"Finland","25-34","secondary",NA,5,6,2,NA,4.33333333333333
322,"Poland","55-64","primary","Every day",4,3,5,1,3.25
323,"Germany","18-24",NA,NA,4,1,10,0,3.75
324,"Finland","18-24","tertiary","Several times a week",NA,NA,2,0,1
325,"Finland","25-34","secondary","Less than once a month",6,4,NA,NA,5
326,"Estonia","45-54","tertiary","Never",4,5,9,3,5.25
327,"Finland","18-24","tertiary","Once a month",NA,4,1,0,1.66666666666667
328,"Estonia","65+","tertiary","Several times a month",NA,5,9,0,4.66666666666667
329,"","65+","primary","Never",9,1,1,9,5
330,"Finland","35-44","tertiary","Every day",9,9,10,7,8.75
331,"Finland","65+",NA,"Every day",9,6,NA,0,5
332,"Sweden","18-24","tertiary","Every day",4,5,2,1,3
333,"Finland","45-54","tertiary","Every day",8,NA,10,5,7.66666666666667
334,"Poland","18-24",NA,"Every day",NA,9,3,10,7.33333333333333
335,"Finland","65+",NA,"Every day",8,5,1,2,4
336,"Finland","35-44",NA,"Every day",NA,3,10,0,4.33333333333333
337,"Finland","45-54","primary","Every day",2,8,2,9,5.25
338,"Sweden","35-44","primary","Once a month",1,NA,NA,3,2
339,"Sweden","18-24","primary","Several times a week",3,4,3,7,4.25
340,"Poland","45-54","tertiary","Once a week",6,0,0,3,2.25
341,"Germany","55-64","primary","Never",10,3,4,9,6.5
342,"Poland","65+","secondary","Several times a week",7,7,5,7,6.5
343,"Finland","45-54",NA,"Every day",2,2,7,8,4.75
344,"Finland","55-64","secondary","Several times a month",NA,NA,9,10,9.5
345,"Estonia","35-44","primary","Once a week",NA,8,NA,6,7
346,"Germany","45-54","tertiary","Every day",0,9,5,0,3.5
347,"Estonia","45-54","primary","Never",NA,3,1,NA,2
348,"Sweden","45-54","secondary","Several times a week",8,NA,5,4,5.66666666666667
349,"Finland","18-24",NA,"Every day",4,6,7,NA,5.66666666666667
350,"Finland","35-44","secondary","Several times a month",0,9,3,3,3.75
351,"Finland","35-44",NA,NA,2,8,0,0,2.5
352,"Finland","25-34",NA,"Once a week",1,6,9,NA,5.33333333333333
353,"Sweden","18-24","secondary","Every day",3,NA,NA,4,3.5
354,"Estonia","35-44",NA,"Never",7,4,4,7,5.5
355,"Finland","45-54","tertiary",NA,6,8,NA,5,6.33333333333333
356,"Finland","55-64","secondary","Every day",NA,2,NA,1,1.5
357,"Poland","18-24","tertiary","Once a month",2,1,NA,4,2.33333333333333
358,"Poland","45-54","tertiary",NA,8,0,6,3,4.25
359,"Finland","35-44","secondary","Several times a month",NA,4,9,NA,6.5
360,"Finland","35-44","tertiary","Once a week",10,5,1,6,5.5
361,"Finland","55-64","secondary","Several times a week",9,2,1,NA,4
362,"Finland","35-44","tertiary","Every day",10,NA,NA,7,8.5
363,"Finland","25-34",NA,"Every day",NA,2,NA,NA,2
364,"Sweden","65+","tertiary","Every day",1,10,9,5,6.25
365,"Germany","55-64","tertiary","Every day",6,NA,NA,3,4.5
366,"Sweden","18-24","secondary","Every day",4,9,1,9,5.75
367,"Finland","55-64",NA,"Every day",10,8,0,4,5.5
368,"Estonia","25-34",NA,"Every day",6,8,10,NA,8
369,"Finland","18-24",NA,"Less than once a month",9,4,2,10,6.25
370,"Estonia","45-54","secondary","Every day",5,2,7,NA,4.66666666666667
371,"Finland","25-34",NA,"Several times a week",10,NA,7,2,6.33333333333333
372,"Finland","65+",NA,"Every day",5,7,5,8,6.25
373,"Estonia","55-64","primary","Several times a week",2,6,NA,NA,4
374,"Finland","35-44",NA,"Every day",NA,10,9,6,8.33333333333333
375,"Germany","25-34","tertiary","Every day",8,6,3,NA,5.66666666666667
376,"Sweden","18-24","tertiary","Every day",0,0,4,10,3.5
377,"Germany","65+","tertiary","Several times a week",0,2,5,2,2.25
378,"Estonia","55-64","tertiary","Every day",NA,1,NA,3,2
379,"Poland","35-44","primary","Every day",3,9,10,1,5.75
380,"Finland","25-34","secondary","Once a week",7,NA,4,2,4.33333333333333
381,"Finland","25-34","secondary",NA,NA,NA,5,1,3
382,"","55-64","secondary","Once a month",8,NA,8,NA,8
383,"Finland","18-24",NA,"Once a month",6,8,4,1,4.75
384,"Poland","65+","tertiary","Once a month",4,NA,5,2,3.66666666666667
385,"Poland","45-54","primary",NA,6,8,NA,7,7
386,"Estonia","45-54","secondary","Once a month",NA,4,2,8,4.66666666666667
387,"Sweden","25-34","secondary","Several times a week",NA,0,5,NA,2.5
388,"Germany","65+","tertiary","Several times a month",8,0,NA,NA,4
389,"Finland","55-64","secondary","Once a month",1,NA,4,0,1.66666666666667
390,"Finland","25-34","tertiary",NA,10,1,5,0,4
391,"Finland","35-44","tertiary","Every day",8,6,8,6,7
392,"Finland","45-54","tertiary","Every day",2,4,6,0,3
393,"Germany","35-44","tertiary","Once a month",0,7,NA,10,5.66666666666667
394,"Finland","35-44","secondary","Every day",9,NA,3,4,5.33333333333333
395,"Finland","18-24","tertiary","Several times a month",5,7,3,NA,5
396,"Finland","25-34","secondary","Several times a month",NA,8,4,7,6.33333333333333
397,"Finland","45-54","secondary","Less than once a month",NA,3,1,NA,2
398,"Estonia","65+",NA,"Once a week",NA,6,5,9,6.66666666666667
399,"Poland","45-54","tertiary",NA,8,9,4,7,7
400,"Finland","45-54",NA,"Every day",8,NA,2,9,6.33333333333333
401,"","35-44","secondary","Every day",3,0,9,0,3
402,"Sweden","55-64",NA,"Several times a week",8,9,0,9,6.5
403,"","55-64","tertiary","Once a week",NA,NA,3,6,4.5
404,"Germany","18-24",NA,"Several times a month",NA,3,9,1,4.33333333333333
405,"","25-34","tertiary","Never",6,10,NA,5,7
406,"Estonia","55-64","secondary","Several times a month",2,2,6,8,4.5
407,"Sweden","35-44","secondary","Every day",4,0,2,2,2
408,"Germany","18-24",NA,NA,6,5,4,4,4.75
409,"Sweden","35-44",NA,"Once a month",10,9,3,0,5.5
410,"Finland","18-24","tertiary",NA,3,10,6,10,7.25
411,"Finland","18-24","secondary","Several times a month",3,10,4,0,4.25
412,"Finland","25-34","primary","Every day",NA,NA,9,NA,9
413,"Finland","35-44","secondary","Several times a week",8,NA,10,NA,9
414,"Estonia","65+","secondary","Never",10,NA,6,4,6.66666666666667
415,"Sweden","55-64","tertiary","Once a month",NA,4,NA,6,5
416,"Finland","65+","secondary","Once a week",3,7,NA,NA,5
417,"Germany","55-64","tertiary",NA,3,8,7,2,5
418,"Sweden","18-24","tertiary","Every day",NA,1,NA,8,4.5
419,"Germany","35-44","primary","Every day",6,4,3,NA,4.33333333333333
420,"","25-34","secondary","Every day",9,3,6,0,4.5
421,"Estonia","25-34",NA,"Several times a month",7,1,6,NA,4.66666666666667
