"resp_id","country","age_grp","education","net_use_news","trust_parliament","trust_press","trust_science","trust_politicians"
93,"Germany","55-64","phd","Every day","10","9","98","98"
94,"Sweden","55-64","phd","Every day","98","4","4","9"
95,,"45-54","tertiary","Once a month","5","","4","98"
96,"Estonia","25-34","tertiary","Every day","3","2","99","4"
97,"Germany","18-24","tertiary","Every day","98","10","4","8"
98,"Sweden","25-34","NA","Once a week","1","9","5","0"
99,"Estonia","35-44","secondary ","Several times a week","5","99","","1"
100,"Finland","35-44","phd","Several times a month","3","8","2","2"
101,"Finland","25-34","Secondary","Several times a week","0","9","9","6"
102,,"25-34","phd","Once a week","1","10","0","4"
103,"Finland","55-64","NA","Several times a month","7","4","","4"
104,"Finland","45-54","phd","Several times a week","1","3","0","7"
105,"Germany","35-44","Secondary","Every day","2","","9",""
106,"Estonia","45-54","Secondary","Once a week","4","","0","98"
107,,"55-64","Tertiary","98","10","8","10","99"
108,"Poland","65+","Secondary","Once a week","8","3","9","98"
109,,"25-34","NA","Several times a week","","2","7","99"
110,"Germany","25-34","secondary ","Once a week","","7","3","99"
111,"Sweden","18-24","NA","Never","1","0","10","9"
112,"Finland","55-64","Secondary","Once a week","99","8","3","98"
113,"Sweden","35-44","tertiary","Never","3","3","3","5"
114,"Poland","35-44","Tertiary","Never","0","4","9","9"
115,"Finland","55-64","tertiary","Once a month","6","10","7","7"
116,"Finland","55-64","NA","Every day","98","2","1","99"
117,"Finland","25-34","phd","Every day","99","3","5","10"
118,"Germany","55-64","Secondary","99","9","10","0","99"
119,"Germany","65+","primary","Several times a week","98","1","8","9"
120,"Estonia","55-64","  ","Every day","4","6","2","2"
121,"Finland","25-34","secondary ","Every day","98","2","99","2"
122,,"18-24","tertiary","Several times a week","10","8","98","98"
123,,"45-54","Secondary","99","0","99","8","5"
124,"Estonia","25-34","  ","Several times a week","7","","5","99"
125,"Sweden","35-44","phd","99","7","3","0","98"
126,"Germany","65+","Secondary","Every day","","","4","99"
127,"Finland","18-24","secondary ","Every day","6","1","99","98"
128,"Sweden","25-34","primary","Every day","10","0","3",""
129,"Finland","55-64","Tertiary","Several times a week","2","6","99","6"
130,"Finland","25-34","NA","Every day","","4","","1"
131,"Germany","45-54","primary","Every day","4","98","1","3"
132,"Estonia","65+","NA","Several times a week","0","98","1",""
133,"Finland","35-44","secondary ","98","99","2","3","7"
134,"Finland","45-54","NA","Every day","6","1","","3"
135,"Finland","25-34","Secondary","Once a week","8","2","99","3"
136,,"18-24","Secondary","Once a week","99","8","","5"
137,,"45-54","Secondary","Less than once a month","6","3","4","4"
138,"Germany","45-54","secondary ","Every day","0","10","3","4"
139,"Poland","65+","Tertiary","Every day","","3","7","98"
140,"Estonia","18-24","Secondary","99","6","9","8","8"
141,"Finland","65+","NA","Several times a month","6","99","99","8"
142,"Germany","55-64","tertiary","Several times a month","2","0","3","6"
143,"Estonia","25-34","Secondary","Every day","0","7","4","1"
144,"Germany","25-34","  ","Every day","","0","98","3"
145,"Finland","65+","primary","98","","9","0",""
146,"Poland","55-64","Secondary","Several times a month","0","98","6","8"
147,,"25-34","phd","99","5","6","4","98"
148,"Finland","45-54","phd","Several times a month","98","3","6","9"
149,"Finland","35-44","secondary ","Every day","99","2","3","5"
150,"Finland","25-34","NA","98","99","9","","3"
151,"Finland","25-34","tertiary","Once a week","98","10","2","6"
152,,"25-34","NA","Several times a week","4","8","4","6"
153,"Finland","25-34","  ","Every day","3","5","3","98"
154,"Finland","18-24","  ","Every day","98","98","9","4"
155,"Finland","35-44","NA","Once a week","3","98","","98"
156,"Germany","65+","primary","Every day","6","98","9","3"
157,"Finland","45-54","secondary ","Every day","99","1","99",""
158,"Finland","35-44","secondary ","Every day","","8","0",""
159,"Poland","25-34","Secondary","Never","10","3","10",""
160,,"55-64","Secondary","Once a week","","99","6","98"
161,"Finland","45-54","Tertiary","Never","5","7","8","1"
162,"Estonia","35-44","secondary ","Every day","1","","8","5"
163,"Estonia","55-64","  ","98","8","98","98","8"
164,"Poland","25-34","  ","Every day","99","99","7","5"
165,"Estonia","35-44","secondary ","Several times a week","98","","0",""
166,,"25-34","phd","Every day","9","0","4","7"
167,"Poland","25-34","Secondary","Once a week","1","6","0","98"
168,"Finland","55-64","tertiary","Several times a month","4","6","5","8"
169,"Estonia","25-34","  ","Every day","7","6","99","3"
170,"Germany","65+","secondary ","Every day","6","8","5","3"
171,,"45-54","secondary ","Every day","0","1","7",""
172,"Finland","18-24","Secondary","Every day","7","98","1","4"
173,,"45-54","NA","Several times a month","","5","4","7"
174,"Estonia","45-54","Tertiary","Every day","2","1","99","2"
175,"Finland","35-44","Tertiary","Every day","98","4","","3"
176,"Finland","18-24","Tertiary","Every day","1","10","3","0"
177,"Poland","65+","Secondary","Every day","5","8","7","8"
178,"Finland","35-44","primary","98","6","99","2","98"
179,"Estonia","55-64","Secondary","Every day","2","3","3","9"
180,,"35-44","  ","Every day","2","99","8","98"
181,"Estonia","35-44","secondary ","Less than once a month","1","98","6","0"
182,"Estonia","45-54","phd","Several times a week","4","5","8","4"
183,"Estonia","18-24","Secondary","98","5","0","","4"
184,"Poland","25-34","NA","Every day","8","9","0","9"
185,"Estonia","45-54","tertiary","Once a month","2","6","8","9"
186,"Sweden","18-24","Secondary","Every day","1","8","7","6"
187,"Sweden","45-54","phd","Every day","5","","6","6"
188,"Poland","55-64","Secondary","Several times a month","9","7","1","4"
189,"Finland","35-44","  ","Less than once a month","0","98","99","2"
190,"Finland","18-24","Tertiary","Several times a month","","5","10","4"
191,"Poland","45-54","NA","Several times a week","4","5","5","1"
192,"Sweden","18-24","tertiary","Less than once a month","3","1","1","1"
193,"Estonia","45-54","  ","99","1","0","7","10"
194,"Sweden","18-24","Secondary","Several times a month","2","99","9","2"
195,,"25-34","phd","Every day","98","7","8","99"
196,"Finland","35-44","primary","Several times a week","5","0","9","4"
197,"Finland","55-64","tertiary","Every day","9","1","9","7"
198,"Finland","25-34","  ","Never","5","","3","2"
199,"Finland","18-24","Tertiary","Several times a week","8","9","4","6"
200,,"55-64","primary","Every day","","0","6",""
201,,"35-44","phd","Once a week","9","0","1","98"
202,"Finland","25-34","tertiary","Every day","9","0","99","8"
203,"Finland","55-64","Secondary","Every day","2","3","3","98"
204,"Sweden","25-34","  ","Every day","2","5","1","1"
205,"Finland","45-54","NA","Once a week","5","98","2","9"
206,"Germany","18-24","tertiary","Several times a week","7","98","2","4"
207,"Estonia","35-44","tertiary","Every day","0","2","3","3"
208,"Estonia","45-54","phd","Once a week","3","","7","9"
209,"Finland","25-34","secondary ","Every day","0","4","2",""
210,"Sweden","65+","Secondary","Once a week","99","99","3","2"
211,"Finland","35-44","Secondary","Every day","1","1","9","99"
212,"Poland","18-24","NA","Several times a week","6","1","9","8"
213,,"18-24","NA","Several times a month","3","99","6","1"
214,"Finland","65+","Tertiary","Every day","4","99","","4"
215,"Finland","45-54","primary","Every day","6","10","99","8"
216,"Finland","25-34","primary","Less than once a month","4","","8","98"
217,"Sweden","55-64","  ","Every day","3","10","","1"
218,"Estonia","45-54","tertiary","98","0","7","99","98"
219,"Germany","35-44","Secondary","Several times a month","98","98","0","1"
220,"Finland","18-24","phd","Every day","","0","10","98"
221,"Finland","65+","primary","Several times a month","99","8","99","4"
222,"Finland","35-44","primary","Once a month","3","3","10","5"
223,"Germany","55-64","phd","Every day","6","5","2","9"
224,"Finland","55-64","phd","Once a week","3","8","","5"
225,"Estonia","25-34","secondary ","Every day","99","9","98","98"
226,"Estonia","18-24","tertiary","Less than once a month","1","1","7","2"
227,"Sweden","35-44","Tertiary","Every day","7","7","9",""
228,"Finland","45-54","primary","Several times a month","1","10","98","8"
229,"Finland","25-34","Tertiary","Several times a week","8","7","10","98"
230,"Germany","35-44","  ","Every day","4","99","9","4"
231,"Finland","55-64","primary","98","2","0","4","10"
232,"Estonia","45-54","primary","Once a month","","4","3","98"
233,"Finland","25-34","  ","Once a week","1","7","99","9"
234,"Poland","65+","Secondary","Every day","99","3","7","8"
235,"Poland","65+","secondary ","Never","","2","2","8"
236,"Germany","25-34","primary","Once a week","1","3","99","6"
237,"Finland","18-24","Secondary","Several times a month","9","0","0","9"
238,"Sweden","45-54","Tertiary","Never","4","6","6","5"
239,"Finland","65+","secondary ","99","","99","8","1"
240,,"35-44","phd","Every day","9","98","10","4"
241,"Finland","18-24","secondary ","Every day","98","4","7","98"
242,"Finland","25-34","primary","99","7","2","9","10"
243,"Finland","65+","phd","Every day","0","4","7","1"
244,"Estonia","35-44","Secondary","99","","4","7","1"
245,"Sweden","18-24","tertiary","Every day","2","10","","6"
246,"Sweden","65+","primary","Every day","7","9","1",""
247,"Sweden","45-54","Tertiary","Every day","8","8","0","10"
248,"Finland","45-54","NA","Several times a week","4","99","6","6"
249,"Finland","18-24","phd","Several times a month","","3","5","9"
250,"Finland","18-24","phd","Every day","8","3","8","4"
251,"Finland","35-44","secondary ","Every day","10","8","5","1"
252,"Estonia","65+","Tertiary","Every day","5","","7","2"
253,"Germany","45-54","secondary ","98","","7","6","98"
254,"Poland","65+","phd","Once a week","3","10","98","4"
255,"Estonia","18-24","NA","Several times a week","9","9","7","7"
256,"Sweden","45-54","NA","Every day","6","10","3","2"
257,"Poland","65+","NA","Once a week","3","99","99","98"
258,"Finland","45-54","primary","Several times a week","1","10","5","4"
259,"Germany","65+","tertiary","Several times a month","8","4","3","0"
260,"Sweden","18-24","Secondary","Several times a week","8","10","10","5"
261,"Finland","35-44","NA","99","4","8","98","9"
262,"Finland","35-44","NA","Several times a week","1","10","0","10"
263,"Finland","18-24","tertiary","Several times a month","5","4","2","4"
264,"Sweden","25-34","NA","Several times a month","2","10","6","8"
265,"Finland","35-44","Tertiary","Once a week","8","1","","1"
266,"Poland","35-44","primary","99","0","2","3","10"
267,,"18-24","  ","Every day","5","","5","9"
268,"Poland","35-44","phd","Every day","0","6","","1"
269,,"18-24","  ","98","8","99","10","98"
270,"Finland","18-24","  ","Every day","9","8","3","6"
271,"Germany","35-44","secondary ","Every day","3","3","8","0"
272,"Germany","25-34","Secondary","Once a month","98","5","3","9"
273,"Sweden","18-24","secondary ","Every day","6","4","99","2"
274,"Finland","65+","Secondary","Several times a month","10","7","0","2"
275,"Estonia","25-34","  ","Several times a month","4","8","4","99"
276,"Finland","65+","  ","Several times a month","4","5","2","10"
277,"Sweden","55-64","  ","Several times a month","6","98","","5"
278,"Poland","18-24","secondary ","Once a week","98","0","3",""
279,"Germany","65+","Tertiary","Once a month","1","9","2","98"
280,"Poland","18-24","tertiary","Every day","3","2","1","99"
281,,"25-34","  ","Once a week","9","5","6","5"
282,"Estonia","45-54","  ","Less than once a month","0","98","9","98"
283,"Poland","45-54","primary","Once a week","1","1","8","0"
284,,"65+","secondary ","Once a week","0","5","6","4"
285,"Finland","25-34","tertiary","Never","6","2","6","7"
286,"Poland","35-44","Secondary","98","2","9","3","3"
287,"Poland","55-64","NA","99","7","98","5",""
288,"Finland","65+","Tertiary","Every day","98","0","10","2"
289,"Finland","55-64","Tertiary","Several times a month","9","9","4","7"
290,"Finland","55-64","secondary ","Every day","8","1","6","6"
291,"Finland","25-34","  ","Several times a week","98","6","5","98"
292,"Finland","18-24","Secondary","Every day","5","7","98","98"
293,"Germany","35-44","primary","Every day","3","10","1","99"
294,"Poland","35-44","Secondary","Every day","1","9","98","7"
295,"Sweden","18-24","primary","98","99","9","1","5"
296,"Sweden","55-64","secondary ","Never","6","2","6","8"
297,"Poland","35-44","Tertiary","Every day","6","98","3","6"
298,"Germany","55-64","phd","Every day","1","99","5","99"
299,"Finland","35-44","secondary ","Several times a week","98","8","5","9"
300,"Sweden","25-34","secondary ","Several times a week","2","10","3","99"
301,"Finland","18-24","Tertiary","98","2","4","98","1"
302,,"25-34","tertiary","Less than once a month","98","99","1","2"
303,"Estonia","45-54","secondary ","Several times a week","6","3","","0"
304,,"18-24","phd","Once a week","5","2","0","5"
305,"Finland","25-34","NA","Once a week","","8","10","4"
306,"Germany","45-54","phd","Once a week","","1","10","10"
307,"Estonia","65+","Tertiary","Never","98","98","","99"
308,"Finland","65+","NA","Never","98","4","99","99"
309,"Finland","65+","phd","Never","8","","10","2"
310,"Estonia","65+","Tertiary","Several times a month","1","10","0","5"
311,"Finland","35-44","tertiary","99","4","2","9","3"
312,"Estonia","25-34","Tertiary","Never","5","5","5","10"
313,"Estonia","18-24","NA","Never","8","","0","9"
314,"Sweden","25-34","Secondary","Several times a month","9","99","10","1"
315,"Poland","18-24","tertiary","Every day","6","2","98","98"
316,"Estonia","25-34","Secondary","Every day","","8","6","8"
317,"Poland","45-54","  ","Several times a week","7","0","7","7"
318,"Finland","45-54","tertiary","Every day","0","98","5","7"
319,"Germany","65+","Tertiary","Never","0","6","2","6"
320,"Germany","18-24","  ","Once a week","8","10","3","2"
321,"Finland","25-34","Secondary","98","5","6","2","98"
322,"Poland","55-64","primary","Every day","4","3","5","1"
323,"Germany","18-24","NA","98","4","1","10","0"
324,"Finland","18-24","tertiary","Several times a week","99","","2","0"
325,"Finland","25-34","Secondary","Less than once a month","6","4","","98"
326,"Estonia","45-54","Tertiary","Never","4","5","9","3"
327,"Finland","18-24","tertiary","Once a month","","4","1","0"
328,"Estonia","65+","Tertiary","Several times a month","98","5","9","0"
329,,"65+","primary","Never","9","1","1","9"
330,"Finland","35-44","tertiary","Every day","9","9","10","7"
331,"Finland","65+","  ","Every day","9","6","98","0"
332,"Sweden","18-24","tertiary","Every day","4","5","2","1"
333,"Finland","45-54","tertiary","Every day","8","","10","5"
334,"Poland","18-24","  ","Every day","99","9","3","10"
335,"Finland","65+","NA","Every day","8","5","1","2"
336,"Finland","35-44","  ","Every day","","3","10","0"
337,"Finland","45-54","primary","Every day","2","8","2","9"
338,"Sweden","35-44","primary","Once a month","1","99","99","3"
339,"Sweden","18-24","primary","Several times a week","3","4","3","7"
340,"Poland","45-54","Tertiary","Once a week","6","0","0","3"
341,"Germany","55-64","primary","Never","10","3","4","9"
342,"Poland","65+","Secondary","Several times a week","7","7","5","7"
343,"Finland","45-54","  ","Every day","2","2","7","8"
344,"Finland","55-64","secondary ","Several times a month","","","9","10"
345,"Estonia","35-44","primary","Once a week","98","8","99","6"
346,"Germany","45-54","tertiary","Every day","0","9","5","0"
347,"Estonia","45-54","primary","Never","99","3","1","98"
348,"Sweden","45-54","secondary ","Several times a week","8","99","5","4"
349,"Finland","18-24","  ","Every day","4","6","7",""
350,"Finland","35-44","Secondary","Several times a month","0","9","3","3"
351,"Finland","35-44","NA","98","2","8","0","0"
352,"Finland","25-34","  ","Once a week","1","6","9","98"
353,"Sweden","18-24","secondary ","Every day","3","","99","4"
354,"Estonia","35-44","  ","Never","7","4","4","7"
355,"Finland","45-54","tertiary","99","6","8","99","5"
356,"Finland","55-64","Secondary","Every day","98","2","","1"
357,"Poland","18-24","Tertiary","Once a month","2","1","98","4"
358,"Poland","45-54","Tertiary","99","8","0","6","3"
359,"Finland","35-44","Secondary","Several times a month","98","4","9","98"
360,"Finland","35-44","Tertiary","Once a week","10","5","1","6"
361,"Finland","55-64","secondary ","Several times a week","9","2","1","99"
362,"Finland","35-44","Tertiary","Every day","10","99","99","7"
363,"Finland","25-34","NA","Every day","99","2","98",""
364,"Sweden","65+","Tertiary","Every day","1","10","9","5"
365,"Germany","55-64","tertiary","Every day","6","99","98","3"
366,"Sweden","18-24","secondary ","Every day","4","9","1","9"
367,"Finland","55-64","NA","Every day","10","8","0","4"
368,"Estonia","25-34","  ","Every day","6","8","10",""
369,"Finland","18-24","NA","Less than once a month","9","4","2","10"
370,"Estonia","45-54","secondary ","Every day","5","2","7","99"
371,"Finland","25-34","  ","Several times a week","10","","7","2"
372,"Finland","65+","NA","Every day","5","7","5","8"
373,"Estonia","55-64","primary","Several times a week","2","6","","98"
374,"Finland","35-44","  ","Every day","","10","9","6"
375,"Germany","25-34","Tertiary","Every day","8","6","3","99"
376,"Sweden","18-24","Tertiary","Every day","0","0","4","10"
377,"Germany","65+","tertiary","Several times a week","0","2","5","2"
378,"Estonia","55-64","tertiary","Every day","98","1","","3"
379,"Poland","35-44","primary","Every day","3","9","10","1"
380,"Finland","25-34","Secondary","Once a week","7","","4","2"
381,"Finland","25-34","Secondary","98","","","5","1"
382,,"55-64","secondary ","Once a month","8","","8",""
383,"Finland","18-24","  ","Once a month","6","8","4","1"
384,"Poland","65+","phd","Once a month","4","99","5","2"
385,"Poland","45-54","primary","99","6","8","","7"
386,"Estonia","45-54","secondary ","Once a month","99","4","2","8"
387,"Sweden","25-34","Secondary","Several times a week","","0","5","98"
388,"Germany","65+","tertiary","Several times a month","8","0","","99"
389,"Finland","55-64","Secondary","Once a month","1","99","4","0"
390,"Finland","25-34","tertiary","99","10","1","5","0"
391,"Finland","35-44","tertiary","Every day","8","6","8","6"
392,"Finland","45-54","tertiary","Every day","2","4","6","0"
393,"Germany","35-44","tertiary","Once a month","0","7","","10"
394,"Finland","35-44","secondary ","Every day","9","","3","4"
395,"Finland","18-24","phd","Several times a month","5","7","3","99"
396,"Finland","25-34","Secondary","Several times a month","99","8","4","7"
397,"Finland","45-54","secondary ","Less than once a month","","3","1",""
398,"Estonia","65+","  ","Once a week","99","6","5","9"
399,"Poland","45-54","tertiary","98","8","9","4","7"
400,"Finland","45-54","  ","Every day","8","","2","9"
401,,"35-44","secondary ","Every day","3","0","9","0"
402,"Sweden","55-64","  ","Several times a week","8","9","0","9"
403,,"55-64","tertiary","Once a week","","99","3","6"
404,"Germany","18-24","  ","Several times a month","","3","9","1"
405,,"25-34","phd","Never","6","10","99","5"
406,"Estonia","55-64","Secondary","Several times a month","2","2","6","8"
407,"Sweden","35-44","Secondary","Every day","4","0","2","2"
408,"Germany","18-24","  ","98","6","5","4","4"
409,"Sweden","35-44","  ","Once a month","10","9","3","0"
410,"Finland","18-24","phd","98","3","10","6","10"
411,"Finland","18-24","secondary ","Several times a month","3","10","4","0"
412,"Finland","25-34","primary","Every day","98","","9",""
413,"Finland","35-44","Secondary","Several times a week","8","","10",""
414,"Estonia","65+","Secondary","Never","10","99","6","4"
415,"Sweden","55-64","phd","Once a month","","4","","6"
416,"Finland","65+","secondary ","Once a week","3","7","","98"
417,"Germany","55-64","Tertiary","98","3","8","7","2"
418,"Sweden","18-24","Tertiary","Every day","98","1","98","8"
419,"Germany","35-44","primary","Every day","6","4","3","99"
420,,"25-34","Secondary","Every day","9","3","6","0"
421,"Estonia","25-34","NA","Several times a month","7","1","6",""
422,"Estonia","65+","phd","98","98","0","99","5"
423,"Sweden","25-34","secondary ","Once a month","4","98","","1"
424,,"25-34","secondary ","Several times a month","4","","7","4"
425,"Germany","45-54","primary","Every day","98","3","5","3"
426,"Poland","18-24","NA","Less than once a month","","6","7","5"
427,"Sweden","18-24","primary","99","1","0","7","2"
428,"Germany","25-34","NA","Several times a week","9","4","9","8"
429,"Poland","35-44","secondary ","Every day","9","7","8","3"
430,,"35-44","phd","Several times a week","","10","","1"
431,"Finland","25-34","primary","Never","99","7","4","1"
432,"Poland","18-24","tertiary","Never","4","3","98","7"
433,"Germany","65+","secondary ","Several times a week","6","9","5","9"
434,"Finland","35-44","  ","Every day","3","","99","0"
435,"Estonia","35-44","secondary ","Every day","99","0","","4"
436,"Estonia","25-34","  ","Once a week","8","0","8","1"
437,"Finland","55-64","secondary ","99","99","7","3","98"
438,"Sweden","65+","primary","Several times a month","7","10","3","10"
439,"Finland","18-24","secondary ","Several times a week","4","98","9","0"
440,"Finland","35-44","secondary ","Once a week","5","6","7","2"
441,"Poland","65+","  ","Never","1","","6","7"
442,"Germany","65+","phd","Once a week","","98","8","5"
443,"Sweden","25-34","phd","Every day","0","9","1","8"
444,"Finland","35-44","primary","Every day","10","2","99","4"
445,"Finland","65+","phd","Every day","3","6","6",""
446,"Estonia","18-24","phd","Less than once a month","1","99","4","98"
447,"Finland","35-44","phd","Several times a week","10","7","2","3"
448,"Poland","25-34","primary","Every day","4","5","98","99"
449,"Finland","65+","tertiary","Every day","9","8","99","99"
450,"Sweden","25-34","tertiary","Every day","","98","5","6"
451,"Finland","65+","NA","Once a week","10","9","3","3"
452,"Finland","18-24","primary","Several times a week","5","98","2","99"
453,"Sweden","65+","tertiary","Several times a week","98","4","98","6"
454,"Finland","18-24","  ","Several times a month","98","3","9","10"
455,"Finland","55-64","tertiary","Every day","5","9","2",""
456,"Finland","18-24","  ","Once a week","9","98","7","6"
457,"Poland","45-54","Secondary","Once a week","2","2","8","10"
458,"Estonia","45-54","  ","Once a week","","2","7","99"
459,"Poland","45-54","Tertiary","Several times a month","0","9","1","5"
460,"Finland","65+","  ","Every day","10","6","","3"
461,"Estonia","25-34","phd","Several times a month","8","6","5","0"
462,"Germany","35-44","NA","Several times a week","3","99","10","9"
463,"Sweden","25-34","secondary ","Several times a week","4","7","98","1"
464,"Finland","65+","  ","Once a week","99","8","99",""
465,"Finland","18-24","Tertiary","Several times a week","","0","3","9"
466,"Poland","25-34","primary","99","","","4","9"
467,"Finland","55-64","  ","Every day","4","99","98","1"
468,"Finland","35-44","primary","Several times a week","99","99","1",""
469,"Finland","55-64","Secondary","Once a month","5","","99","10"
470,"Estonia","45-54","  ","99","4","10","9","7"
471,"Finland","45-54","secondary ","Once a month","98","2","8","7"
472,"Estonia","65+","NA","Every day","7","2","1","10"
473,"Finland","55-64","NA","Less than once a month","9","4","10","8"
474,"Germany","18-24","phd","Several times a week","4","5","5","4"
475,"Germany","45-54","primary","Every day","8","2","6","1"
476,"Finland","35-44","secondary ","Several times a month","9","6","0","5"
477,"Finland","45-54","Secondary","Every day","9","1","6","3"
478,"Finland","25-34","  ","Every day","7","9","1","98"
479,"Finland","55-64","secondary ","Once a month","0","7","6","5"
480,,"25-34","tertiary","Once a month","98","6","4","5"
481,"Finland","25-34","Secondary","98","1","6","4","1"
482,"Finland","35-44","Secondary","Every day","9","5","4","0"
483,"Sweden","65+","Secondary","Every day","99","9","","3"
484,"Finland","55-64","NA","Several times a week","99","6","1","5"
485,"Finland","45-54","phd","Every day","8","3","7","0"
486,"Germany","55-64","tertiary","Every day","7","9","2","2"
487,"Poland","65+","NA","Several times a month","6","1","5","3"
488,"Finland","65+","NA","Every day","7","3","6","8"
489,"Estonia","45-54","  ","Every day","6","10","10","10"
490,"Sweden","55-64","  ","Less than once a month","","","7","99"
491,"Estonia","18-24","Tertiary","Once a week","9","7","7","10"
492,"Finland","35-44","NA","Less than once a month","98","5","8","4"
493,"Sweden","35-44","phd","Never","99","99","0","5"
494,"Finland","25-34","  ","99","0","1","98","7"
